Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bangladesh,BGD,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,0.656720537,0.604303492,0.844783331,1.523678975,1.569977813,1.268985181,0.934292961,0.857420859,0.915831691,1.060869685,1.270673712,1.17804196,1.054272784,1.112191676,1.168232539,1.246388097,1.290861801,1.223165026,1.214422802,1.36050315,1.429390515,1.529023664,1.566693141,1.539073594,1.571667926,1.567535198,1.584834391,1.357119181,1.288422776,1.185764388,1.138286942,1.123505863,1.09089437,1.108238774,1.114480186,1.059529893,1.156730939,1.320837396,1.355517777,1.324419491,1.258197522,1.279412463,1.350969947,1.372321482,1.240256126,1.263999785,1.348906693,1.301862862,1.269776719
Bulgaria,BGR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.39627075,3.83344349,3.043231573,2.972633843,2.609271612,2.492617286,2.374131284,2.402934109,2.430701355,2.453059147,2.645171956,2.671170465,2.884461387,2.80125965,2.712020749,2.391993484,2.252898222,2.096991297,2.229611261,2.133524802,1.739511524,1.652468225,1.320717319,1.33635532,1.459340112,1.313704521,1.248848117,1.246707289,1.226243678,1.451568367,3.148475544,1.54445133,1.594889007
Bahrain,BHR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,1.526179854,1.75228724,2.077922078,4.958131335,5.892751915,5.698891307,6.902581566,8.535161949,4.790336018,4.179305696,4.588158182,5.837762481,5.253253881,5.603045758,5.644661664,5.284791544,5.703750648,5.878071992,5.369855167,5.111302188,5.18323179,5.273939764,5.068487413,5.333103953,5.503621544,3.961670969,4.148081632,4.611106606,4.658832803,4.044928848,3.214381095,3.102947728,2.956990234,2.800161369,3.61053525,3.277755942,3.591497227,3.844573702,4.141451788,4.418589461,4.632877365,4.671440867,4.33877531,4.07429483,4.055054417,4.074397375,3.558259674
"Bahamas, The",BHS,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.904372905,2.41669769,1.889602808,1.544219658,1.386533488,1.236152863,1.220612,1.376586159,1.280341444,1.136430264,1.145571921,1.087055798,1.025826887,1.000613746,0.933900815,0.864182658,0.852548557,0.8200662,0.845572005,0.894938348
Belarus,BLR,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.622498648,2.790971461,3.621608255,1.699463769,1.26069256,1.768966551,1.495098702,1.366760738,1.346984151,1.438290747,1.400245801,1.2990639,1.358222314,1.498453135,1.709412492,1.649765914,1.453492852,1.372576981,1.341383433,1.22449511,1.229218722,1.270796652,1.26884247,1.257482359,1.253515045,1.146289015,1.182261729,1.20086453,1.174169762,1.155805708
Belize,BLZ,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,1.158969928,1.437587169,1.534381036,1.543918919,1.559825996,,,,1.199332232,1.176307351,1.094053398,1.021547148,1.095492316,1.36043658,1.298850806,1.242144862,1.435666259,,,0.855252088,0.855039571,0.839626562,0.863555814,0.896738668,0.961314172,1.008915151,1.066140405,1.367605852,1.310816767,1.113671387,1.055329118,0.999351704,1.125663091,1.197789504,1.143856161,1.223192232,1.255364915,1.247387935,1.329104658,1.715700589,1.253583903
Bermuda,BMU,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,1.203463986,1.158699993,1.326412016,,,,,1.350152185,1.318224897,1.61221645,1.391585766,1.595541894,1.622636209,1.836654098,2.371237115,2.367156575,2.247499441,2.598970098,2.708461078,3.172399893,3.902203322,1.9818473,1.499320703,2.170841736,2.013992525,2.345549228,2.377263176,2.02098132,2.1562887,2.815883319,2.688324857,2.506118833,1.91634981,2.250301234,2.096162258,1.986807543,2.273610301,2.69111086,2.133287095,2.062971201,2.32044789,1.990334716,2.145485083,1.896503662,1.717004423,1.466226984,1.489047584,1.961780436,1.761364443,1.707910405,1.684122657,1.845606439,1.841240314,1.896915045,1.759435915,1.530467849,1.536427353,1.496902342,1.451270871,1.319074572,1.544458342
Brazil,BRA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.679134726,2.364066194,2.398683307,2.260839182,2.014498091,3.352092157,3.021981632,2.856972008,2.649740158,2.615590006,2.887289557,2.619046859,2.43581199,2.154651306,1.941353411,1.972143796,2.002753365,1.687726478,1.59967155,1.521931686,1.138434421,1.143148768,1.303534361,1.254580323,1.199541045,1.429523122,1.220388728,1.743994031,2.118072205,2.68625,2.363841025,1.963333333,1.521528861,1.927922815,2.016007789,1.86213698,1.6548435,1.577688316,1.66229192,1.645474667,1.730726147,1.951882445,1.895771199,1.503477636,1.461268409,1.524013393,1.481084895,1.4662921,1.441924093,1.538625697,1.539406981,1.411851159,1.378656465,1.329446084,1.330244423,1.365517154,1.347975413,1.414485611,1.469677724,1.379456925,1.355470203,1.190809848
Barbados,BRB,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,2.574084402,2.88778814,4.670729808,3.792514955,6.6299771,6.21043627,6.437735269,6.404350125,6.245144781,5.740231735,5.982471359,5.477265965,6.249493831,7.183964552,7.529843893,6.130418352,4.06920549,3.886397608,3.870782758,3.711419618,2.532730088,2.349427638,2.303963195,2.380152244,2.261792369,2.941072032,2.850487901,2.24224142,2.159034489,2.277507595,3.086860958,3.279290461,3.539384699,2.865169907,2.636612485,3.078642143,4.080878304,3.2622296
Bhutan,BTN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,,,,,,,,,,,,,,,,,,1.356572569,2.874909003,3.501499383,3.207620529,2.978298115,2.69474386,2.326337698,2.437270832,2.184731489,2.663595803,4.794414575,4.899677023,3.56901008,4.445158035,4.603469927,4.482809049,4.933491973,4.008120396,3.506479719,2.899521498,3.197204627,3.779398844,3.092073755,3.191242951,3.831223033,4.11020649,4.007366589,3.505874041,2.858004185,2.695121374,2.801455193,3.036968238,3.215590561,2.726858683,2.366646334,2.266761131,2.056395513,2.130855509,2.660266574,3.28777595,3.005878803,2.676088923,2.812261003,3.202409842,2.859640394
